CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 5 is empty
CPU 7 is empty
CPU 8 is empty
CPU 9 is empty
CPU 10 is empty
CPU 11 is empty
cpus=12
   hello-21407   4.... 12086.029133: funcgraph_exit:       + 53.859 us  |              }
   hello-21407   4.... 12086.029133: funcgraph_entry:                   |              terminate_walk() {
   hello-21407   4.... 12086.029133: funcgraph_entry:                   |                dput() {
   hello-21407   4.... 12086.029134: funcgraph_entry:                   |                  _cond_resched() {
   hello-21407   4.... 12086.029134: funcgraph_entry:        0.333 us   |                    rcu_all_qs();
   hello-21407   4.... 12086.029135: funcgraph_exit:         0.982 us   |                  }
   hello-21407   4.... 12086.029135: funcgraph_exit:         1.731 us   |                }
   hello-21407   4.... 12086.029135: funcgraph_entry:                   |                mntput() {
   hello-21407   4.... 12086.029136: funcgraph_entry:        0.348 us   |                  mntput_no_expire();
   hello-21407   4.... 12086.029136: funcgraph_exit:         1.013 us   |                }
   hello-21407   4.... 12086.029137: funcgraph_exit:         3.763 us   |              }
   hello-21407   4.... 12086.029137: funcgraph_exit:       ! 245.830 us |            }
   hello-21407   4.... 12086.029137: funcgraph_entry:        0.338 us   |            restore_nameidata();
   hello-21407   4.... 12086.029138: funcgraph_exit:       ! 247.283 us |          }
   hello-21407   4.... 12086.029139: funcgraph_entry:                   |          __fsnotify_parent() {
   hello-21407   4.... 12086.029139: funcgraph_entry:        0.338 us   |            dget_parent();
   hello-21407   4.... 12086.029140: funcgraph_entry:                   |            dput() {
   hello-21407   4.... 12086.029140: funcgraph_entry:                   |              _cond_resched() {
   hello-21407   4.... 12086.029140: funcgraph_entry:        0.333 us   |                rcu_all_qs();
   hello-21407   4.... 12086.029141: funcgraph_exit:         1.008 us   |              }
   hello-21407   4.... 12086.029141: funcgraph_exit:         1.674 us   |            }
   hello-21407   4.... 12086.029142: funcgraph_exit:         3.023 us   |          }
   hello-21407   4.... 12086.029142: funcgraph_entry:        0.344 us   |          fsnotify();
   hello-21407   4.... 12086.029143: funcgraph_exit:       ! 252.199 us |        }
   hello-21407   4.... 12086.029144: funcgraph_entry:                   |        sched_exec() {
   hello-21407   4.... 12086.029144: funcgraph_entry:        0.342 us   |          _raw_spin_lock_irqsave();
   hello-21407   4d... 12086.029145: funcgraph_entry:                   |          select_task_rq_fair() {
   hello-21407   4d... 12086.029146: funcgraph_entry:        0.448 us   |            __update_load_avg_blocked_se();
   hello-21407   4d... 12086.029148: funcgraph_entry:        0.385 us   |            available_idle_cpu();
   hello-21407   4d... 12086.029149: funcgraph_entry:        0.368 us   |            available_idle_cpu();
   hello-21407   4d... 12086.029151: funcgraph_exit:         6.037 us   |          }
   hello-21407   4d... 12086.029151: funcgraph_entry:        0.377 us   |          _raw_spin_unlock_irqrestore();
   hello-21407   4.... 12086.029152: funcgraph_entry:                   |          stop_one_cpu() {
   hello-21407   4.... 12086.029152: funcgraph_entry:                   |            cpu_stop_init_done() {
   hello-21407   4.... 12086.029152: funcgraph_entry:        0.340 us   |              __init_waitqueue_head();
   hello-21407   4.... 12086.029153: funcgraph_exit:         1.006 us   |            }
   hello-21407   4.... 12086.029154: funcgraph_entry:                   |            cpu_stop_queue_work() {
   hello-21407   4.... 12086.029154: funcgraph_entry:        0.484 us   |              _raw_spin_lock_irqsave();
   hello-21407   4d... 12086.029155: funcgraph_entry:        0.540 us   |              wake_q_add();
   hello-21407   4d... 12086.029156: funcgraph_entry:        0.358 us   |              _raw_spin_unlock_irqrestore();
   hello-21407   4.... 12086.029156: funcgraph_entry:                   |              wake_up_q() {
   hello-21407   4.... 12086.029157: funcgraph_entry:                   |                try_to_wake_up() {
   hello-21407   4.... 12086.029157: funcgraph_entry:        0.342 us   |                  _raw_spin_lock_irqsave();
   hello-21407   4d... 12086.029158: funcgraph_entry:        0.392 us   |                  _raw_spin_lock();
   hello-21407   4d... 12086.029159: funcgraph_entry:        0.492 us   |                  update_rq_clock();
   hello-21407   4d... 12086.029160: funcgraph_entry:                   |                  ttwu_do_activate() {
   hello-21407   4d... 12086.029160: funcgraph_entry:                   |                    activate_task() {
   hello-21407   4d... 12086.029161: funcgraph_entry:                   |                      psi_task_change() {
   hello-21407   4d... 12086.029161: funcgraph_entry:        0.408 us   |                        record_times();
   hello-21407   4d... 12086.029162: funcgraph_exit:         1.602 us   |                      }
   hello-21407   4d... 12086.029163: funcgraph_entry:        0.423 us   |                      enqueue_task_stop();
   hello-21407   4d... 12086.029163: funcgraph_exit:         3.157 us   |                    }
   hello-21407   4d... 12086.029164: funcgraph_entry:                   |                    ttwu_do_wakeup() {
   hello-21407   4d... 12086.029164: funcgraph_entry:                   |                      check_preempt_curr() {
   hello-21407   4d... 12086.029164: funcgraph_entry:        0.409 us   |                        resched_curr();
   hello-21407   4dN.. 12086.029165: funcgraph_exit:         1.097 us   |                      }
   hello-21407   4dN.. 12086.029166: funcgraph_exit:         2.320 us   |                    }
   hello-21407   4dN.. 12086.029166: funcgraph_exit:         6.499 us   |                  }
   hello-21407   4dN.. 12086.029167: funcgraph_entry:        0.351 us   |                  _raw_spin_unlock_irqrestore();
   hello-21407   4.N.. 12086.029167: funcgraph_exit:       + 10.663 us  |                }
   hello-21407   4.N.. 12086.029168: funcgraph_exit:       + 11.341 us  |              }
   hello-21407   4.N.. 12086.029168: funcgraph_exit:       + 14.524 us  |            }
   hello-21407   4.N.. 12086.029168: funcgraph_entry:                   |            _cond_resched() {
